new_customer_id,true_state,lost_probability,success_probability,rank
335144,completed,0.04429865672394784,0.9557013432760522,1
218398,completed,0.07012522304379354,0.9298747769562065,2
204080,completed,0.07320621096672297,0.926793789033277,3
331056,lost,0.20706244215288938,0.7929375578471106,4
202247,lost,0.2974241555885321,0.7025758444114679,5
314491,lost,0.31925623195254405,0.680743768047456,6
288276,completed,0.3587689035988789,0.6412310964011211,7
224847,completed,0.4129981904694421,0.5870018095305579,8
229815,lost,0.6540022399366231,0.3459977600633769,9
243512,lost,0.6930809904164652,0.30691900958353485,10
240514,lost,0.7289735773157868,0.2710264226842131,11
269505,lost,0.7332176574346772,0.26678234256532285,12
317196,lost,0.7936233114387856,0.20637668856121433,13
210037,lost,0.8624233631265089,0.1375766368734911,14
298944,lost,0.8829334302168907,0.1170665697831093,15
216834,lost,0.8891805160556204,0.11081948394437954,16
323683,lost,0.8900987809215823,0.1099012190784177,17
196945,lost,0.890174201679889,0.10982579832011091,18
231439,lost,0.9273809176022229,0.07261908239777717,19
298610,lost,0.9274328390277279,0.07256716097227212,20
